group,nll_drop_mean,nll_drop_std
Oil_identity,0.09973076163337341,0.026508143446786002
Surfactant_identity,0.07279974673013424,0.03136964836702527
Cosurfactant_identity,0.018401909801895714,0.018747027928018665
Oil+Surfactant_identity,0.19549129075003271,0.047520281005691674
Oil+Cosurfactant_identity,0.1434058454725058,0.03224877577586536
Surfactant+Cosurfactant_identity,0.14428952962915892,0.04839305950853505
Oil+Surfactant+Cosurfactant_identity,0.3070636857918748,0.06529159524368783
HLB,0.06070578666730406,0.022618641154103857
Compatibility,0.047555317741259075,0.013025924361144954
Oil_V,0.05803588832845498,0.015273116940818898
S_Ratio,0.010163711156640174,0.004889421434367925
Sonication,0.0011091018695415557,0.003083576672986927
