target,model_name,model_family,n_train,n_test,n_features,training_split_used,notes,r2,rmse,mae,median_ae,explained_variance,pred_mean,pred_std,y_mean,y_std,residual_mean,residual_std,avg_pred_std,median_pred_std,min_pred_std,max_pred_std,accuracy,balanced_accuracy,f1,precision,recall,roc_auc,log_loss_score,brier_score
Phase_Sep,CalibratedClassifierCV(RandomForest),RandomForest+Calibration,136.0,35,24,80/20 stratified,Classification; n_features = full feature set,,,,,,,,,,,,,,,,0.9428571428571428,0.96,0.9090909090909091,0.8333333333333334,1.0,0.978,0.1357358550907743,0.038471530613972876
Droplet_Size,GPR (TransformedTargetRegressor),GaussianProcessRegressor,,25,24,80/20 (Phase_Sep==0 subset),Regression on stable-emulsion rows only,0.8928019579498274,22.927135673615773,15.763302842008429,7.8750841074079005,0.8975678662622282,140.04918455702781,75.03349297016364,135.2149333324,70.02552514021008,-4.834251224627815,22.41168367824179,56.949848675255254,54.005581174609965,50.10487861247723,69.93391906404867,,,,,,,,
PDI,GPR (TransformedTargetRegressor),GaussianProcessRegressor,,25,24,80/20 (Phase_Sep==0 subset),Regression on stable-emulsion rows only,0.4806361998920037,0.10389135344403946,0.07657223470641207,0.05956605859557512,0.48527792231504474,0.37163171270441986,0.09067657625604299,0.38145333319999997,0.14415959919113105,0.009821620495580158,0.10342605615257275,0.08765903124067266,0.0874813387808664,0.07977124225281153,0.09679581651901535,,,,,,,,
Zeta_P,MLPEnsemble,MLP_Ensemble,,25,24,80/20 (Phase_Sep==0 subset),Regression on stable-emulsion rows only,0.49857074757566167,0.6221710695550484,0.4748502859737158,0.3462557717657928,0.512252576567,-3.129039199281169,1.1336734243064526,-3.0262666667199998,0.878627879787341,0.10277253256116974,0.613624189828136,,,,,,,,,,,,
