Exp,Rep,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Oil,Surfactant,Cosurfactant,API_Name,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability
DoEOPT,3,7.5,20.0,20.0,1.5,Oleic_Acid,Tween_80,PEG_400,blank,188.8333333,0.384666667,-5.026666667,0,,
Misc12,1,7.5,20.0,20.0,0.0,Capryol_90,Tween_80,Transcutol_HP,blank,121.2,0.366,-2.613333333,0,,
Misc41,1,7.5,20.0,20.0,0.5,Capryol_90,Tween_80,Transcutol_HP,blank,104.7,0.448333333,-2.296666667,0,,
Misc42,1,7.5,20.0,20.0,1.0,Capryol_90,Tween_80,Transcutol_HP,blank,95.23666667,0.345,-2.756666667,0,,
Misc15,1,7.5,20.0,20.0,1.5,Capryol_90,Tween_80,Transcutol_HP,blank,119.0,0.447,-2.326666667,0,,
Misc43,1,7.5,20.0,20.0,2.0,Capryol_90,Tween_80,Transcutol_HP,blank,99.43,0.389333333,-2.086666667,0,,
Misc18,1,7.5,20.0,20.0,2.5,Capryol_90,Tween_80,Transcutol_HP,blank,133.1,0.307,-2.206666667,0,,
Misc44,1,7.5,20.0,20.0,3.0,Capryol_90,Tween_80,Transcutol_HP,blank,106.3,0.548,-2.576666667,0,,
Misc12,2,7.5,20.0,20.0,0.0,Capryol_90,Tween_80,Transcutol_HP,blank,98.91,0.487,-2.263333333,0,,
Misc41,2,7.5,20.0,20.0,0.5,Capryol_90,Tween_80,Transcutol_HP,blank,85.78,0.407666667,-2.326666667,0,,
Misc42,2,7.5,20.0,20.0,1.0,Capryol_90,Tween_80,Transcutol_HP,blank,97.37666667,0.311333333,-2.653333333,0,,
Misc15,2,7.5,20.0,20.0,1.5,Capryol_90,Tween_80,Transcutol_HP,blank,104.4,0.398666667,-1.806666667,0,,
Misc43,2,7.5,20.0,20.0,2.0,Capryol_90,Tween_80,Transcutol_HP,blank,97.62666667,0.284,-2.046666667,0,,
Misc18,2,7.5,20.0,20.0,2.5,Capryol_90,Tween_80,Transcutol_HP,blank,121.6333333,0.316666667,-1.86,0,,
Misc44,2,7.5,20.0,20.0,3.0,Capryol_90,Tween_80,Transcutol_HP,blank,96.74666667,0.296666667,-1.746666667,0,,
Misc12,3,7.5,20.0,20.0,0.0,Capryol_90,Tween_80,Transcutol_HP,blank,99.66333333,0.492666667,-2.103333333,0,,
Misc41,3,7.5,20.0,20.0,0.5,Capryol_90,Tween_80,Transcutol_HP,blank,85.11333333,0.467,-2.703333333,0,,
Misc42,3,7.5,20.0,20.0,1.0,Capryol_90,Tween_80,Transcutol_HP,blank,97.35666667,0.303333333,-2.74,0,,
Misc15,3,7.5,20.0,20.0,1.5,Capryol_90,Tween_80,Transcutol_HP,blank,103.3666667,0.37,-2.173333333,0,,
Misc43,3,7.5,20.0,20.0,2.0,Capryol_90,Tween_80,Transcutol_HP,blank,90.60333333,0.297333333,-1.95,0,,
Misc18,3,7.5,20.0,20.0,2.5,Capryol_90,Tween_80,Transcutol_HP,blank,120.8333333,0.295666667,-2.563333333,0,,
Misc44,3,7.5,20.0,20.0,3.0,Capryol_90,Tween_80,Transcutol_HP,blank,95.19666667,0.310666667,-1.753333333,0,,
Ran1,1,6.6666667,30.0,10.0,2.5,Soybean_Oil,Tween_20,PEG_400,blank,10000.0,1.0,100.0,1,,
Ran2,1,11.6666667,16.7,23.3,3.0,Maisine_Oil,Labrasol,PEG_400,blank,10000.0,1.0,100.0,1,,
Ran3,1,10.0,10.0,30.0,2.0,Capmul_MCM,Tween_80,Propylene_Glycol,blank,274.2,0.265333333,-2.98,0,,
Ran4,1,10.0,23.3,16.7,2.0,Maisine_Oil,Labrasol,Transcutol_HP,blank,10000.0,1.0,100.0,1,,
Ran5,1,10.0,20.0,20.0,2.0,Capryol_90,Tween_20,PEG_400,blank,145.8333333,0.252666667,-3.566666667,0,,
Ran6,1,13.3333333,30.0,10.0,0.0,Capryol_90,Tween_80,Ethanol,blank,180.5,0.291333333,-2.393333333,0,,
Ran7,1,11.6666667,13.3,26.7,0.5,Capryol_90,Tween_20,Propylene_Glycol,blank,185.7666667,0.432333333,-4.17,0,,
Ran8,1,8.3333333,16.7,23.3,1.0,Capryol_90,Labrasol,Ethanol,blank,10000.0,1.0,100.0,1,,
Ran9,1,10.0,13.3,26.7,3.0,Capmul_MCM,Tween_80,Transcutol_HP,blank,232.2333333,0.245333333,-2.316666667,0,,
Ran10,1,8.3333333,23.3,16.7,1.5,Soybean_Oil,Tween_20,Transcutol_HP,blank,10000.0,1.0,100.0,1,,
Ran1,2,6.6666667,30.0,10.0,2.5,Soybean_Oil,Tween_20,PEG_400,blank,10000.0,1.0,100.0,1,,
Ran2,2,11.6666667,16.7,23.3,3.0,Maisine_Oil,Labrasol,PEG_400,blank,10000.0,1.0,100.0,1,,
Ran3,2,10.0,10.0,30.0,2.0,Capmul_MCM,Tween_80,Propylene_Glycol,blank,271.5666667,0.307666667,-2.496666667,0,,
Ran4,2,10.0,23.3,16.7,2.0,Maisine_Oil,Labrasol,Transcutol_HP,blank,10000.0,1.0,100.0,1,,
Ran5,2,10.0,20.0,20.0,2.0,Capryol_90,Tween_20,PEG_400,blank,149.9666667,0.283,-3.203333333,0,,
Ran6,2,13.3333333,30.0,10.0,0.0,Capryol_90,Tween_80,Ethanol,blank,165.7,0.303333333,-2.366666667,0,,
Ran7,2,11.6666667,13.3,26.7,0.5,Capryol_90,Tween_20,Propylene_Glycol,blank,133.3,0.263333333,-3.903333333,0,,
Ran8,2,8.3333333,16.7,23.3,1.0,Capryol_90,Labrasol,Ethanol,blank,10000.0,1.0,100.0,1,,
Ran9,2,10.0,13.3,26.7,3.0,Capmul_MCM,Tween_80,Transcutol_HP,blank,257.0,0.251666667,-2.72,0,,
Ran10,2,8.3333333,23.3,16.7,1.5,Soybean_Oil,Tween_20,Transcutol_HP,blank,10000.0,1.0,100.0,1,,
Ran1,3,6.6666667,30.0,10.0,2.5,Soybean_Oil,Tween_20,PEG_400,blank,10000.0,1.0,100.0,1,,
Ran2,3,11.6666667,16.7,23.3,3.0,Maisine_Oil,Labrasol,PEG_400,blank,10000.0,1.0,100.0,1,,
Ran3,3,10.0,10.0,30.0,2.0,Capmul_MCM,Tween_80,Propylene_Glycol,blank,273.6333333,0.293333333,-2.636666667,0,,
Ran4,3,10.0,23.3,16.7,2.0,Maisine_Oil,Labrasol,Transcutol_HP,blank,10000.0,1.0,100.0,1,,
Ran5,3,10.0,20.0,20.0,2.0,Capryol_90,Tween_20,PEG_400,blank,148.6333333,0.272,-2.246666667,0,,
Ran6,3,13.3333333,30.0,10.0,0.0,Capryol_90,Tween_80,Ethanol,blank,167.1333333,0.299,-2.04,0,,
Ran7,3,11.6666667,13.3,26.7,0.5,Capryol_90,Tween_20,Propylene_Glycol,blank,133.3,0.291,-3.346666667,0,,
Ran8,3,8.3333333,16.7,23.3,1.0,Capryol_90,Labrasol,Ethanol,blank,10000.0,1.0,100.0,1,,
Ran9,3,10.0,13.3,26.7,3.0,Capmul_MCM,Tween_80,Transcutol_HP,blank,193.1333333,0.218,-2.586666667,0,,
Ran10,3,8.3333333,23.3,16.7,1.5,Soybean_Oil,Tween_20,Transcutol_HP,blank,10000.0,1.0,100.0,1,,
A1,1,7.875,21.6,18.4,1.515,Capryol_90,Tween_80,Propylene_Glycol,blank,129.3,0.312,-2.513333333,0,,
