target,rank,model,split_type,n_samples,rmse,mae,r2,nll,sharpness,cov_50,cov_68,cov_90,cov_95,calibration_slope,calibration_intercept,uncertainty_type,is_winner,is_acceptable,thompson_suitable,n_failed_folds
Droplet_Size,11,GPyTorch_ExactGP,standard,108,63.007715,36.569342,0.659361,300.973071,2.486728,0.092593,,0.148148,0.157407,0.131313,0.012121,gp_posterior,False,False,False,
PDI,1,GPR_RatQuad_White,standard_cv,108,0.115209,0.082999,0.447554,-0.728701,0.104546,0.564815,,0.907407,0.935185,0.959596,0.051684,gp_posterior,True,True,True,0
PDI,2,GPR_Matern15_Scaled,standard_cv,108,0.116441,0.084423,0.435678,-0.719165,0.104023,0.583333,,0.87963,0.925926,0.968575,0.037935,gp_posterior,False,True,True,0
PDI,3,GPR_Matern25_Scaled,standard_cv,108,0.116441,0.084423,0.435678,-0.719165,0.104023,0.583333,,0.87963,0.925926,0.968575,0.037935,gp_posterior,False,True,True,0
PDI,4,GPR_Matern15_White,standard_cv,108,0.117104,0.085256,0.429235,-0.717357,0.105594,0.574074,,0.907407,0.935185,0.983726,0.029433,gp_posterior,False,True,True,0
PDI,5,GPyTorch_ExactGP,standard,108,0.113599,0.087457,0.462887,-0.711677,0.10178,0.527778,,0.888889,0.944444,0.984848,-0.006313,gp_posterior,False,True,True,
PDI,6,GPR_RBF_White,standard_cv,108,0.118192,0.08659,0.418575,-0.70371,0.105739,0.564815,,0.907407,0.935185,0.961279,0.036953,gp_posterior,False,True,True,0
PDI,7,GPR_Matern25_White,standard_cv,108,0.118311,0.086755,0.417411,-0.702561,0.105746,0.564815,,0.907407,0.935185,0.962963,0.035185,gp_posterior,False,True,True,0
PDI,8,GPR_Composite_M25_RBF,standard_cv,108,0.11901,0.086376,0.410497,-0.699099,0.106086,0.564815,,0.87963,0.935185,0.955107,0.048373,gp_posterior,False,True,True,0
PDI,9,QuantileRF,standard_cv,108,0.105008,0.07645,0.541058,-0.05662,0.074394,0.37037,,0.796296,0.851852,0.893939,-0.034933,interval_approx,False,True,True,0
PDI,10,MLPEnsemble,standard_cv,108,0.133038,0.107476,0.263342,0.812385,0.077172,0.277778,,0.564815,0.648148,0.64927,-0.040376,ensemble_disagreement,False,True,True,0
PDI,11,GPR_ARD_Tuned,standard_cv,108,0.117969,0.084784,0.420774,1.720489,0.051022,0.305556,,0.583333,0.657407,0.675084,-0.027357,gp_posterior,False,True,True,0
Zeta_P,1,GPR_Composite_M25_RBF,standard_cv,108,0.65915,0.460411,0.722229,1.040619,0.570951,0.537037,,0.87963,0.916667,0.943322,0.066302,gp_posterior,True,True,True,0
Zeta_P,2,GPR_Matern15_White,standard_cv,108,0.65724,0.459303,0.723837,1.042805,0.569567,0.537037,,0.87963,0.916667,0.952862,0.056902,gp_posterior,False,True,True,0
Zeta_P,3,GPR_Matern25_White,standard_cv,108,0.661747,0.462115,0.720036,1.046054,0.571258,0.537037,,0.87963,0.907407,0.937149,0.062907,gp_posterior,False,True,True,0
Zeta_P,4,GPR_RatQuad_White,standard_cv,108,0.667025,0.464327,0.715553,1.054327,0.571756,0.518519,,0.87963,0.907407,0.934343,0.067088,gp_posterior,False,True,True,0
Zeta_P,5,GPR_RBF_White,standard_cv,108,0.669904,0.46697,0.713092,1.05504,0.574004,0.518519,,0.87963,0.907407,0.945567,0.061476,gp_posterior,False,True,True,0
Zeta_P,6,GPyTorch_ExactGP,standard,108,0.710337,0.489727,0.677413,1.162055,0.547632,0.527778,,0.842593,0.87037,0.929293,0.042761,gp_posterior,False,True,True,
Zeta_P,7,GPR_Matern15_Scaled,standard_cv,108,0.805467,0.507789,0.585225,1.21223,0.626542,0.592593,,0.861111,0.87037,0.896184,0.108389,gp_posterior,False,True,True,0
Zeta_P,8,GPR_Matern25_Scaled,standard_cv,108,0.808791,0.509412,0.581795,1.24079,0.644852,0.62037,,0.861111,0.87037,0.865881,0.1328,gp_posterior,False,True,True,0
Zeta_P,9,QuantileRF,standard_cv,108,0.627907,0.424175,0.747938,1.390922,0.389925,0.398148,,0.75,0.805556,0.84119,-0.03078,interval_approx,False,True,True,0
Zeta_P,10,GPR_ARD_Tuned,standard_cv,108,0.808444,0.507988,0.582153,2.075645,0.409674,0.416667,,0.759259,0.787037,0.792929,0.02298,gp_posterior,False,True,True,0
Zeta_P,11,MLPEnsemble,standard_cv,108,0.82756,0.576311,0.562159,2.107841,0.446338,0.296296,,0.685185,0.740741,0.758137,-0.05592,ensemble_disagreement,False,True,True,0
Drug_Loading,1,GPR_Composite_M25_RBF,standard_cv,6,6.803828,5.48895,-0.503798,3.573207,6.156845,0.5,,0.833333,0.833333,0.959596,-0.029798,gp_posterior,True,True,True,0
Drug_Loading,2,GPR_ARD_Tuned,standard_cv,6,5.713927,3.982582,-0.060601,3.853748,4.650741,0.666667,,0.833333,0.833333,0.555556,0.305556,gp_posterior,False,True,True,0
Drug_Loading,3,GPR_RatQuad_White,standard_cv,6,6.363301,4.393,-0.31537,4.036994,4.932806,0.666667,,0.666667,0.833333,0.656566,0.221717,gp_posterior,False,True,True,0
Drug_Loading,4,GPR_Matern15_Scaled,standard_cv,6,6.36345,4.393748,-0.315431,4.0374,4.931888,0.666667,,0.666667,0.833333,0.656566,0.221717,gp_posterior,False,True,True,0
Drug_Loading,5,GPR_Matern25_Scaled,standard_cv,6,6.363595,4.394493,-0.315491,4.037423,4.931876,0.666667,,0.666667,0.833333,0.656566,0.221717,gp_posterior,False,True,True,0
Drug_Loading,6,GPR_Matern15_White,standard_cv,6,6.363451,4.393759,-0.315432,4.037551,4.93293,0.666667,,0.666667,0.833333,0.656566,0.221717,gp_posterior,False,True,True,0
Drug_Loading,7,GPR_Matern25_White,standard_cv,6,6.363595,4.394498,-0.315491,4.037575,4.932928,0.666667,,0.666667,0.833333,0.656566,0.221717,gp_posterior,False,True,True,0
Drug_Loading,8,GPR_RBF_White,standard_cv,6,6.366795,4.411407,-0.316814,4.038053,4.932396,0.666667,,0.666667,0.833333,0.747475,0.159596,gp_posterior,False,True,True,0
Drug_Loading,9,QuantileRF,standard_cv,6,6.180728,5.197537,-0.240972,4.664928,3.904667,0.333333,,0.666667,0.666667,0.959596,-0.163131,interval_approx,False,True,True,0
Drug_Loading,10,GPyTorch_ExactGP,standard,6,18.173845,16.68915,-9.729426,36.500022,2.148835,0.0,,0.0,0.0,0.0,0.0,gp_posterior,False,False,True,
Permeability,1,GPR_ARD_Tuned,standard_cv,6,3e-06,2e-06,0.625746,-11.55872,2e-06,0.166667,,0.833333,0.833333,0.838384,-0.169192,gp_posterior,True,True,True,0
Permeability,2,GPR_Composite_M25_RBF,standard_cv,6,6e-06,4e-06,-0.153821,-10.777965,5e-06,0.5,,0.833333,0.833333,1.030303,-0.048485,gp_posterior,False,True,True,0
Permeability,3,GPR_RatQuad_White,standard_cv,6,6e-06,5e-06,-0.305684,-10.398322,4e-06,0.5,,0.833333,0.833333,0.818182,0.007576,gp_posterior,False,True,True,0
Permeability,4,GPR_RBF_White,standard_cv,6,6e-06,5e-06,-0.305736,-10.398194,4e-06,0.5,,0.833333,0.833333,0.818182,0.007576,gp_posterior,False,True,True,0
Permeability,5,GPR_Matern25_Scaled,standard_cv,6,6e-06,5e-06,-0.440046,-10.350997,4e-06,0.5,,0.666667,0.833333,0.89899,-0.066162,gp_posterior,False,True,True,0
Permeability,6,GPR_Matern25_White,standard_cv,6,6e-06,5e-06,-0.434283,-10.284008,5e-06,0.5,,0.666667,0.833333,0.747475,0.059596,gp_posterior,False,True,True,0
Permeability,7,GPR_Matern15_Scaled,standard_cv,6,6e-06,5e-06,-0.438625,-10.265808,5e-06,0.5,,0.666667,0.833333,0.747475,0.059596,gp_posterior,False,True,True,0
Permeability,8,GPR_Matern15_White,standard_cv,6,6e-06,5e-06,-0.442341,-10.252089,5e-06,0.5,,0.666667,0.833333,0.656566,0.121717,gp_posterior,False,True,True,0
Permeability,9,QuantileRF,standard_cv,6,4e-06,3e-06,0.421394,-7.838333,5e-06,0.5,,0.833333,0.833333,0.838384,0.097475,interval_approx,False,True,True,0
Permeability,10,GPyTorch_ExactGP,standard,6,0.001165,0.001075,-51699.946192,-3.583526,0.01102,1.0,,1.0,1.0,0.363636,0.751515,gp_posterior,False,True,True,
